# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ma/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-08-01 16:49:06 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104455 STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104455
#    DD parameter   Description
#    02   00060     Discharge, cubic feet per second
#    03   00010     Temperature, water, degrees Celsius
#    04   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#    15   63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#    23   99404     Chloride, water, filtered, estimated by regression equation, milligrams per liter
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	02_00060	02_00060_cd	03_00010	03_00010_cd	04_00095	04_00095_cd	15_63680	15_63680_cd	23_99404	23_99404_cd
USGS	01104455	2014-07-25 02:45	EDT	0.25	P	21.4	P	1200	P	0.4	P	320	P
USGS	01104455	2014-07-25 03:00	EDT	0.25	P	21.3	P	1200	P	0.4	P	320	P
USGS	01104455	2014-07-25 03:15	EDT	0.22	P	21.3	P	1200	P	0.4	P	320	P
USGS	01104455	2014-07-25 03:30	EDT	0.22	P	21.3	P	1200	P	0.4	P	320	P
USGS	01104455	2014-07-25 03:45	EDT	0.22	P	21.2	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 04:00	EDT	0.22	P	21.2	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 04:15	EDT	0.22	P	21.2	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 04:30	EDT	0.22	P	21.1	P	1200	P	1.0	P	320	P
USGS	01104455	2014-07-25 04:45	EDT	0.22	P	21.1	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 05:00	EDT	0.22	P	21.0	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 05:15	EDT	0.22	P	21.0	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 05:30	EDT	0.22	P	21.0	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 05:45	EDT	0.22	P	20.9	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 05:54	EDT	0.22	P	20.9	P			0.8	P		
USGS	01104455	2014-07-25 05:55	EDT	0.22	P	20.9	P			0.8	P		
USGS	01104455	2014-07-25 05:56	EDT	0.22	P	20.9	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 06:00	EDT	0.22	P	20.9	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 06:15	EDT	0.22	P	20.8	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 06:30	EDT	0.25	P	20.8	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 06:45	EDT	0.25	P	20.7	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 07:00	EDT	0.25	P	20.6	P	1200	P	0.4	P	320	P
USGS	01104455	2014-07-25 07:15	EDT	0.25	P	20.6	P	1200	P	0.5	P	320	P
USGS	01104455	2014-07-25 07:30	EDT	0.25	P	20.5	P	1210	P	0.5	P	320	P
USGS	01104455	2014-07-25 07:45	EDT	0.25	P	20.5	P	1210	P	0.4	P	320	P
USGS	01104455	2014-07-25 08:00	EDT	0.25	P	20.4	P	1210	P	0.7	P	320	P
USGS	01104455	2014-07-25 08:05	EDT	0.25	P	20.4	P			0.7	P		
USGS	01104455	2014-07-25 08:06	EDT	0.25	P	20.4	P			0.7	P		
USGS	01104455	2014-07-25 08:07	EDT	0.25	P	20.4	P	1200	P	2.1	P	320	P
USGS	01104455	2014-07-25 08:11	EDT	0.25	P	20.4	P			0.8	P		
USGS	01104455	2014-07-25 08:13	EDT	0.25	P	20.4	P	1190	P	0.8	P	320	P
USGS	01104455	2014-07-25 08:15	EDT	0.25	P	20.4	P	1210	P	0.5	P	320	P
USGS	01104455	2014-07-25 08:25	EDT	0.25	P	20.4	P			0.3	P		
USGS	01104455	2014-07-25 08:26	EDT	0.25	P	20.4	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 08:30	EDT	0.25	P	20.4	P	1200	P	0.6	P	320	P
USGS	01104455	2014-07-25 08:34	EDT	0.25	P	20.4	P			0.4	P		
USGS	01104455	2014-07-25 08:35	EDT	0.25	P	20.4	P	1200	P	0.4	P	320	P
USGS	01104455	2014-07-25 08:45	EDT	0.25	P	20.4	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 09:00	EDT	0.25	P	20.5	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 09:15	EDT	0.25	P	20.5	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 09:30	EDT	0.25	P	20.5	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 09:45	EDT	0.25	P	20.5	P	1200	P	0.6	P	320	P
USGS	01104455	2014-07-25 10:00	EDT	0.25	P	20.5	P	1200	P	1.0	P	320	P
USGS	01104455	2014-07-25 10:15	EDT	0.25	P	20.6	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 10:30	EDT	0.25	P	20.6	P	1200	P	0.7	P	320	P
USGS	01104455	2014-07-25 10:45	EDT	0.25	P	20.6	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 10:51	EDT	0.28	P	20.6	P	1200	P	0.3	P	320	P
USGS	01104455	2014-07-25 10:54	EDT	0.25	P	20.6	P	1200	P	1.1	P	320	P
USGS	01104455	2014-07-25 11:00	EDT	0.34	P	20.6	P	1200	P	1.0	P	320	P
USGS	01104455	2014-07-25 11:01	EDT	0.27	P	20.6	P	1200	P	0.4	P	320	P
USGS	01104455	2014-07-25 11:08	EDT	0.40	P	20.7	P	1200	P	0.9	P	320	P
USGS	01104455	2014-07-25 11:09	EDT	0.48	P	20.7	P	1200	P	0.5	P	320	P
USGS	01104455	2014-07-25 11:10	EDT	0.40	P	20.7	P	1200	P	0.5	P	320	P
USGS	01104455	2014-07-25 11:12	EDT	0.34	P	20.7	P	1200	P	1.2	P	320	P
USGS	01104455	2014-07-25 11:14	EDT	0.28	P	20.7	P	1200	P	0.7	P	320	P
USGS	01104455	2014-07-25 11:15	EDT	0.27	P	20.7	P	1200	P	0.5	P	320	P
USGS	01104455	2014-07-25 11:30	EDT	0.25	P	20.7	P	1200	P	1.6	P	320	P
USGS	01104455	2014-07-25 11:45	EDT	0.25	P	20.8	P	1200	P	1.1	P	320	P
USGS	01104455	2014-07-25 12:00	EDT	0.25	P	20.8	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 12:15	EDT	0.22	P	20.9	P	1200	P	0.8	P	320	P
USGS	01104455	2014-07-25 12:30	EDT	0.22	P	20.9	P	1200	P	1.3	P	320	P
USGS	01104455	2014-07-25 12:45	EDT	0.25	P	21.0	P	1200	P	1.0	P	320	P
USGS	01104455	2014-07-25 13:00	EDT	0.25	P	21.0	P	1200	P	1.0	P	320	P
USGS	01104455	2014-07-25 13:08	EDT	0.25	P	21.0	P			1.6	P		
USGS	01104455	2014-07-25 13:09	EDT	0.25	P	21.0	P	1200	P	1.5	P	320	P
USGS	01104455	2014-07-25 13:15	EDT	0.25	P	21.0	P	1200	P	1.6	P	320	P
USGS	01104455	2014-07-25 13:30	EDT	0.25	P	21.0	P	1200	P	1.8	P	320	P
USGS	01104455	2014-07-25 13:45	EDT	0.25	P	21.1	P	1200	P	1.5	P	320	P
USGS	01104455	2014-07-25 14:00	EDT	0.25	P	21.1	P	1210	P	2.9	P	320	P
USGS	01104455	2014-07-25 14:15	EDT	0.25	P	21.2	P	1200	P	2.0	P	320	P
USGS	01104455	2014-07-25 14:30	EDT	0.25	P	21.2	P	1210	P	2.0	P	320	P
USGS	01104455	2014-07-25 14:45	EDT	0.25	P	21.3	P	1210	P	2.3	P	320	P
USGS	01104455	2014-07-25 15:00	EDT	0.25	P	21.4	P	1210	P	1.0	P	320	P
USGS	01104455	2014-07-25 15:15	EDT	0.22	P	21.4	P	1210	P	1.6	P	320	P
USGS	01104455	2014-07-25 15:20	EDT	0.22	P	21.4	P			1.4	P		
USGS	01104455	2014-07-25 15:21	EDT	0.22	P	21.4	P	1200	P	1.2	P	320	P
USGS	01104455	2014-07-25 15:30	EDT	0.22	P	21.4	P			2.0	P		
USGS	01104455	2014-07-25 15:32	EDT	0.22	P	21.4	P	1210	P	1.4	P	320	P
USGS	01104455	2014-07-25 15:34	EDT	0.22	P	21.5	P			0.9	P		
USGS	01104455	2014-07-25 15:35	EDT	0.22	P	21.5	P	1210	P	1.0	P	320	P
USGS	01104455	2014-07-25 15:42	EDT	0.22	P	21.5	P			1.5	P		
USGS	01104455	2014-07-25 15:43	EDT	0.22	P	21.5	P			1.2	P		
USGS	01104455	2014-07-25 15:44	EDT	0.22	P	21.5	P			1.0	P		
USGS	01104455	2014-07-25 15:45	EDT	0.22	P	21.5	P			1.2	P		
USGS	01104455	2014-07-25 15:46	EDT	0.22	P	21.5	P			0.8	P		
USGS	01104455	2014-07-25 15:47	EDT	0.22	P	21.5	P	1180	P	0.9	P	320	P
USGS	01104455	2014-07-25 15:51	EDT	0.22	P	21.5	P			1.3	P		
USGS	01104455	2014-07-25 15:52	EDT	0.22	P	21.5	P	1210	P	1.0	P	320	P
USGS	01104455	2014-07-25 16:00	EDT	0.22	P	21.6	P	1210	P	1.1	P	320	P
USGS	01104455	2014-07-25 16:15	EDT	0.22	P	21.7	P	1210	P	1.2	P	320	P
USGS	01104455	2014-07-25 16:30	EDT	0.22	P	21.7	P	1210	P	1.3	P	320	P
USGS	01104455	2014-07-25 16:45	EDT	0.22	P	21.8	P	1220	P	1.6	P	330	P
USGS	01104455	2014-07-25 17:00	EDT	0.22	P	21.8	P	1210	P	0.9	P	320	P
USGS	01104455	2014-07-25 17:15	EDT	0.22	P	21.9	P	1220	P	1.0	P	330	P
USGS	01104455	2014-07-25 17:30	EDT	0.22	P	21.9	P	1220	P	1.1	P	330	P
USGS	01104455	2014-07-25 17:45	EDT	0.22	P	22.0	P	1210	P	1.1	P	320	P
USGS	01104455	2014-07-25 18:00	EDT	0.22	P	22.0	P	1210	P	0.9	P	320	P
USGS	01104455	2014-07-25 18:15	EDT	0.22	P	22.1	P	1210	P	0.8	P	320	P
USGS	01104455	2014-07-25 18:30	EDT	0.22	P	22.1	P	1210	P	0.7	P	320	P
USGS	01104455	2014-07-25 18:45	EDT	0.22	P	22.1	P	1220	P	1.1	P	330	P
USGS	01104455	2014-07-25 19:00	EDT	0.22	P	22.1	P	1210	P	0.9	P	320	P
USGS	01104455	2014-07-25 19:15	EDT	0.22	P	22.2	P	1210	P	0.3	P	320	P
USGS	01104455	2014-07-25 19:30	EDT	0.22	P	22.2	P	1210	P	0.7	P	320	P
USGS	01104455	2014-07-25 19:45	EDT	0.22	P	22.2	P	1220	P	0.9	P	330	P
USGS	01104455	2014-07-25 20:00	EDT	0.22	P	22.2	P	1220	P	0.3	P	330	P
USGS	01104455	2014-07-25 20:15	EDT	0.22	P	22.2	P	1210	P	0.9	P	320	P
USGS	01104455	2014-07-25 20:16	EDT	0.22	P	22.2	P			0.7	P		
USGS	01104455	2014-07-25 20:17	EDT	0.22	P	22.2	P	1210	P	0.9	P	320	P
USGS	01104455	2014-07-25 20:30	EDT	0.22	P	22.2	P	1220	P	0.6	P	330	P
USGS	01104455	2014-07-25 20:33	EDT	0.22	P	22.2	P			0.3	P		
USGS	01104455	2014-07-25 20:34	EDT	0.22	P	22.2	P	1220	P	0.3	P	330	P
USGS	01104455	2014-07-25 20:45	EDT	0.22	P	22.2	P	1230	P	0.3	P	330	P
USGS	01104455	2014-07-25 20:51	EDT	0.22	P	22.2	P			0.7	P		
USGS	01104455	2014-07-25 20:52	EDT	0.22	P	22.2	P	1230	P	0.4	P	330	P
USGS	01104455	2014-07-25 21:00	EDT	0.22	P	22.2	P	1230	P	0.6	P	330	P
USGS	01104455	2014-07-25 21:05	EDT	0.22	P	22.3	P			0.7	P		
USGS	01104455	2014-07-25 21:06	EDT	0.22	P	22.2	P	1230	P	0.5	P	330	P
USGS	01104455	2014-07-25 21:11	EDT	0.22	P	22.2	P			1.1	P		
USGS	01104455	2014-07-25 21:12	EDT	0.22	P	22.2	P			0.4	P		
USGS	01104455	2014-07-25 21:15	EDT	0.22	P	22.2	P			0.6	P		
USGS	01104455	2014-07-25 21:16	EDT	0.22	P	22.2	P			0.3	P		
USGS	01104455	2014-07-25 21:19	EDT	0.22	P	22.2	P			0.5	P		
USGS	01104455	2014-07-25 21:20	EDT	0.22	P	22.2	P			0.7	P		
USGS	01104455	2014-07-25 21:21	EDT	0.22	P	22.2	P			0.3	P		
USGS	01104455	2014-07-25 21:30	EDT	0.22	P	22.2	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-25 21:45	EDT	0.22	P	22.2	P	1240	P	1.1	P	330	P
USGS	01104455	2014-07-25 21:47	EDT	0.22	P	22.2	P						
USGS	01104455	2014-07-25 21:48	EDT	0.22	P	22.2	P	1240	P			330	P
USGS	01104455	2014-07-25 22:00	EDT	0.22	P	22.2	P	1240	P	1.7	P	330	P
USGS	01104455	2014-07-25 22:15	EDT	0.22	P	22.2	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-25 22:30	EDT	0.22	P	22.2	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-25 22:38	EDT	0.22	P	22.2	P			0.3	P		
USGS	01104455	2014-07-25 22:39	EDT	0.22	P	22.2	P			0.3	P		
USGS	01104455	2014-07-25 22:40	EDT	0.22	P	22.2	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-25 22:42	EDT	0.22	P	22.2	P			0.4	P		
USGS	01104455	2014-07-25 22:43	EDT	0.22	P	22.2	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-25 22:45	EDT	0.22	P	22.2	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-25 23:00	EDT	0.22	P	22.2	P			0.3	P		
USGS	01104455	2014-07-25 23:01	EDT	0.22	P	22.2	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-25 23:15	EDT	0.22	P	22.1	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-25 23:30	EDT	0.22	P	22.1	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-25 23:45	EDT	0.22	P	22.1	P	1240	P	0.7	P	330	P
USGS	01104455	2014-07-26 00:00	EDT	0.22	P	22.1	P	1240	P	0.7	P	330	P
USGS	01104455	2014-07-26 00:15	EDT	0.22	P	22.1	P	1240	P	0.7	P	330	P
USGS	01104455	2014-07-26 00:30	EDT	0.22	P	22.0	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 00:45	EDT	0.22	P	22.0	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 01:00	EDT	0.22	P	22.0	P	1250	P	290	P	340	P
USGS	01104455	2014-07-26 01:15	EDT	0.22	P	22.0	P	1250	P	290	P	340	P
USGS	01104455	2014-07-26 01:30	EDT	0.22	P	21.9	P	1250	P	120	P	340	P
USGS	01104455	2014-07-26 01:45	EDT	0.22	P	21.9	P	1250	P	120	P	340	P
USGS	01104455	2014-07-26 02:00	EDT	0.22	P	21.9	P	1250	P	120	P	340	P
USGS	01104455	2014-07-26 02:15	EDT	0.22	P	21.8	P	1250	P	120	P	340	P
USGS	01104455	2014-07-26 02:30	EDT	0.22	P	21.8	P	1250	P	2.4	P	340	P
USGS	01104455	2014-07-26 02:45	EDT	0.22	P	21.7	P	1250	P	0.5	P	340	P
USGS	01104455	2014-07-26 03:00	EDT	0.22	P	21.7	P	1250	P	0.4	P	340	P
USGS	01104455	2014-07-26 03:15	EDT	0.22	P	21.7	P	1250	P	0.4	P	340	P
USGS	01104455	2014-07-26 03:30	EDT	0.22	P	21.6	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-26 03:45	EDT	0.22	P	21.6	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-26 04:00	EDT	0.22	P	21.6	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-26 04:15	EDT	0.22	P	21.5	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-26 04:30	EDT	0.22	P	21.5	P	1240	P	1.0	P	330	P
USGS	01104455	2014-07-26 04:45	EDT	0.22	P	21.5	P	1240	P	0.5	P	330	P
USGS	01104455	2014-07-26 05:00	EDT	0.22	P	21.4	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-26 05:15	EDT	0.22	P	21.4	P	1240	P	1.0	P	330	P
USGS	01104455	2014-07-26 05:30	EDT	0.22	P	21.4	P	1240	P	0.9	P	330	P
USGS	01104455	2014-07-26 05:45	EDT	0.22	P	21.4	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-26 06:00	EDT	0.22	P	21.3	P	1240	P	0.6	P	330	P
USGS	01104455	2014-07-26 06:15	EDT	0.22	P	21.3	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-26 06:30	EDT	0.22	P	21.3	P	1240	P	0.5	P	330	P
USGS	01104455	2014-07-26 06:45	EDT	0.22	P	21.2	P	1240	P	0.7	P	330	P
USGS	01104455	2014-07-26 07:00	EDT	0.22	P	21.2	P	1240	P	0.7	P	330	P
USGS	01104455	2014-07-26 07:15	EDT	0.22	P	21.2	P	1240	P	0.5	P	330	P
USGS	01104455	2014-07-26 07:30	EDT	0.22	P	21.2	P	1240	P	12	P	330	P
USGS	01104455	2014-07-26 07:45	EDT	0.22	P	21.2	P	1240	P	1.6	P	330	P
USGS	01104455	2014-07-26 08:00	EDT	0.22	P	21.1	P	1240	P	1.7	P	330	P
USGS	01104455	2014-07-26 08:15	EDT	0.22	P	21.1	P	1240	P	1.4	P	330	P
USGS	01104455	2014-07-26 08:30	EDT	0.22	P	21.0	P	1240	P	0.5	P	330	P
USGS	01104455	2014-07-26 08:45	EDT	0.22	P	21.0	P	1240	P	0.9	P	330	P
USGS	01104455	2014-07-26 09:00	EDT	0.22	P	20.9	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-26 09:15	EDT	0.22	P	20.9	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-26 09:30	EDT	0.22	P	20.9	P	1240	P	0.6	P	330	P
USGS	01104455	2014-07-26 09:45	EDT	0.22	P	20.9	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-26 10:00	EDT	0.22	P	20.9	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-26 10:15	EDT	0.22	P	20.9	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-26 10:30	EDT	0.22	P	20.9	P	1240	P	0.8	P	330	P
USGS	01104455	2014-07-26 10:45	EDT	0.22	P	21.0	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-26 11:00	EDT	0.22	P	21.0	P	1240	P	0.3	P	330	P
USGS	01104455	2014-07-26 11:15	EDT	0.22	P	21.0	P	1240	P	0.7	P	330	P
USGS	01104455	2014-07-26 11:30	EDT	0.22	P	21.0	P	1240	P	1.0	P	330	P
USGS	01104455	2014-07-26 11:45	EDT	0.22	P	21.1	P	1240	P	0.7	P	330	P
USGS	01104455	2014-07-26 12:00	EDT	0.22	P	21.1	P	1240	P	0.7	P	330	P
USGS	01104455	2014-07-26 12:15	EDT	0.22	P	21.2	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 12:30	EDT	0.22	P	21.2	P	1250	P	0.4	P	340	P
USGS	01104455	2014-07-26 12:45	EDT	0.22	P	21.2	P	1250	P	0.6	P	340	P
USGS	01104455	2014-07-26 13:00	EDT	0.22	P	21.3	P	1240	P	0.8	P	330	P
USGS	01104455	2014-07-26 13:15	EDT	0.22	P	21.4	P	1250	P	1.0	P	340	P
USGS	01104455	2014-07-26 13:22	EDT	0.22	P	21.4	P			0.7	P		
USGS	01104455	2014-07-26 13:23	EDT	0.22	P	21.4	P			0.9	P		
USGS	01104455	2014-07-26 13:24	EDT	0.22	P	21.4	P			0.6	P		
USGS	01104455	2014-07-26 13:25	EDT	0.22	P	21.4	P	1230	P	1.0	P	330	P
USGS	01104455	2014-07-26 13:26	EDT	0.22	P	21.4	P			0.6	P		
USGS	01104455	2014-07-26 13:27	EDT	0.22	P	21.4	P			0.5	P		
USGS	01104455	2014-07-26 13:28	EDT	0.22	P	21.4	P			0.6	P		
USGS	01104455	2014-07-26 13:30	EDT	0.22	P	21.4	P			0.6	P		
USGS	01104455	2014-07-26 13:31	EDT	0.22	P	21.4	P			0.3	P		
USGS	01104455	2014-07-26 13:33	EDT	0.22	P	21.4	P	1230	P	0.4	P	330	P
USGS	01104455	2014-07-26 13:36	EDT	0.22	P	21.5	P			0.4	P		
USGS	01104455	2014-07-26 13:37	EDT	0.22	P	21.5	P			0.4	P		
USGS	01104455	2014-07-26 13:38	EDT	0.22	P	21.5	P	1230	P	0.8	P	330	P
USGS	01104455	2014-07-26 13:45	EDT	0.22	P	21.5	P	1230	P	0.8	P	330	P
USGS	01104455	2014-07-26 13:51	EDT	0.22	P	21.6	P			1.6	P		
USGS	01104455	2014-07-26 13:53	EDT	0.22	P	21.6	P	1240	P	1.0	P	330	P
USGS	01104455	2014-07-26 13:55	EDT	0.22	P	21.6	P			0.6	P		
USGS	01104455	2014-07-26 13:56	EDT	0.22	P	21.6	P			0.6	P		
USGS	01104455	2014-07-26 13:57	EDT	0.22	P	21.6	P			0.5	P		
USGS	01104455	2014-07-26 13:59	EDT	0.22	P	21.6	P			0.8	P		
USGS	01104455	2014-07-26 14:00	EDT	0.22	P	21.6	P			0.6	P		
USGS	01104455	2014-07-26 14:02	EDT	0.22	P	21.6	P			0.5	P		
USGS	01104455	2014-07-26 14:03	EDT	0.22	P	21.6	P	1240	P	0.4	P	330	P
USGS	01104455	2014-07-26 14:15	EDT	0.22	P	21.6	P	1250	P	0.8	P	340	P
USGS	01104455	2014-07-26 14:30	EDT	0.22	P	21.6	P	1230	P	0.4	P	330	P
USGS	01104455	2014-07-26 14:45	EDT	0.22	P	21.7	P	1250	P	0.6	P	340	P
USGS	01104455	2014-07-26 15:00	EDT	0.22	P	21.7	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 15:15	EDT	0.22	P	21.7	P	1250	P	0.7	P	340	P
USGS	01104455	2014-07-26 15:30	EDT	0.22	P	21.8	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 15:43	EDT	0.22	P	21.8	P			0.3	P		
USGS	01104455	2014-07-26 15:44	EDT	0.22	P	21.8	P			0.3	P		
USGS	01104455	2014-07-26 15:45	EDT	0.22	P	21.8	P			0.3	P		
USGS	01104455	2014-07-26 15:46	EDT	0.22	P	21.8	P			0.3	P		
USGS	01104455	2014-07-26 15:48	EDT	0.22	P	21.8	P			0.3	P		
USGS	01104455	2014-07-26 15:49	EDT	0.22	P	21.9	P			0.3	P		
USGS	01104455	2014-07-26 15:50	EDT	0.22	P	21.9	P			0.6	P		
USGS	01104455	2014-07-26 15:51	EDT	0.22	P	21.9	P	1250	P	0.6	P	340	P
USGS	01104455	2014-07-26 16:00	EDT	0.22	P	21.9	P	1250	P	0.4	P	340	P
USGS	01104455	2014-07-26 16:15	EDT	0.22	P	21.9	P	1250	P	1.4	P	340	P
USGS	01104455	2014-07-26 16:30	EDT	0.22	P	22.0	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 16:45	EDT	0.22	P	22.1	P	1250	P	1.5	P	340	P
USGS	01104455	2014-07-26 17:00	EDT	0.22	P	22.1	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 17:15	EDT	0.22	P	22.2	P	1250	P	0.6	P	340	P
USGS	01104455	2014-07-26 17:30	EDT	0.22	P	22.3	P	1250	P	1.0	P	340	P
USGS	01104455	2014-07-26 17:45	EDT	0.22	P	22.4	P	1250	P	0.5	P	340	P
USGS	01104455	2014-07-26 18:00	EDT	0.22	P	22.4	P	1250	P	0.4	P	340	P
USGS	01104455	2014-07-26 18:15	EDT	0.21	P	22.5	P	1250	P	0.7	P	340	P
USGS	01104455	2014-07-26 18:30	EDT	0.22	P	22.6	P	1250	P	0.4	P	340	P
USGS	01104455	2014-07-26 18:45	EDT	0.21	P	22.6	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 19:00	EDT	0.21	P	22.6	P	1250	P	0.3	P	340	P
USGS	01104455	2014-07-26 19:15	EDT	0.21	P	22.6	P	1250	P	1.0	P	340	P
USGS	01104455	2014-07-26 19:30	EDT	0.21	P	22.6	P	1250	P	0.4	P	340	P
